areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
Nolita,Manhattan,neighborhood,3750.0,3595.0,3700.0,3698.0,3895.0,3800.0,3995.0,3798.0,4000.0,4723.0,5000.0,,3775.0,3645.0,3450.0,4625.0,3995.0,3995.0,3995.0,4200.0,4198.0,3995.0,4450.0,3998.0,4000.0,4300.0,3873.0,3995.0,3895.0,4200.0,4200.0,4198.0,4095.0,4045.0,4248.0,3848.0,4295.0,3600.0,3423.0,3648.0,3800.0,4348.0,4150.0,3998.0,4150.0,3100.0,4395.0,3775.0,5000.0,3995.0,3895.0,4000.0,3873.0,4095.0,3848.0,3695.0,3679.0,3495.0,4950.0,4500.0,4548.0,4360.0,4545.0,4495.0,4250.0,4223.0,4000.0,3995.0,3900.0,3675.0,3800.0,4300.0,4150.0,3800.0,4125.0,4445.0,4325.0,3995.0,3995.0,4000.0,4245.0,4195.0,4245.0,4175.0,4198.0,4245.0,4195.0,4295.0,4395.0,3900.0,3900.0,4073.0,3998.0,3897.0,3798.0,4195.0,4100.0,4000.0,4295.0,4038.0,4498.0,4050.0,4025.0,4000.0,4300.0,4698.0
North Brooklyn,Brooklyn,submarket,2750.0,2700.0,2750.0,2900.0,2900.0,2900.0,2995.0,3195.0,3225.0,3250.0,3100.0,2700.0,2600.0,3000.0,2800.0,3300.0,3350.0,3250.0,2900.0,3100.0,3000.0,3169.0,3300.0,3458.0,3257.0,3112.0,3200.0,3481.0,3300.0,3400.0,3200.0,3200.0,3800.0,3850.0,3890.0,3700.0,3650.0,3479.0,3200.0,3000.0,3100.0,3250.0,3250.0,3200.0,3200.0,3250.0,3300.0,3350.0,3500.0,3465.0,3200.0,3200.0,3250.0,3300.0,3200.0,3195.0,3100.0,3000.0,3100.0,3185.0,3200.0,3200.0,3100.0,3150.0,3000.0,3100.0,3200.0,3200.0,3150.0,3200.0,3200.0,3210.0,3250.0,3199.0,3100.0,3100.0,3100.0,3100.0,3000.0,3094.0,3097.0,3100.0,3131.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2999.0,3000.0,2900.0,2800.0,2750.0,2800.0,2800.0,2875.0,2952.0,2995.0,3000.0,2995.0,2999.0,3000.0,2999.0
North Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Queens,Queens,submarket,1650.0,1713.0,1700.0,1550.0,1650.0,1675.0,1700.0,1675.0,1700.0,1800.0,1800.0,1650.0,1688.0,1900.0,1775.0,1750.0,1700.0,1763.0,1825.0,1800.0,1700.0,1700.0,1700.0,1600.0,1685.0,1700.0,1750.0,1750.0,1773.0,1825.0,1850.0,1900.0,2100.0,2325.0,2100.0,1800.0,1700.0,1700.0,1850.0,1925.0,1800.0,1900.0,1875.0,1950.0,1950.0,1998.0,1790.0,2050.0,2000.0,1975.0,1900.0,1850.0,1950.0,1950.0,2025.0,2025.0,2000.0,2000.0,2100.0,2000.0,1925.0,1950.0,2000.0,2095.0,2000.0,1998.0,2000.0,2000.0,2100.0,2100.0,2100.0,2200.0,2198.0,2100.0,2099.0,2100.0,2025.0,2100.0,2100.0,2250.0,2150.0,2100.0,2100.0,2150.0,2050.0,2050.0,2100.0,2150.0,2150.0,2200.0,2200.0,2200.0,2150.0,2108.0,2100.0,2075.0,2170.0,2150.0,2120.0,2225.0,2200.0,2195.0,2150.0,2148.0,2100.0,2135.0
Northwest Brooklyn,Brooklyn,submarket,2600.0,2573.0,2550.0,2600.0,2725.0,2800.0,2900.0,2975.0,3095.0,3061.0,2973.0,2800.0,2800.0,2750.0,2800.0,2800.0,2850.0,3000.0,3019.0,3200.0,3400.0,3200.0,3150.0,3273.0,3495.0,3413.0,3500.0,3359.0,3400.0,3337.0,3357.0,3500.0,3500.0,3400.0,3450.0,3500.0,3400.0,3400.0,3500.0,3450.0,3600.0,3700.0,3575.0,3500.0,3497.0,3400.0,3400.0,3254.0,3301.0,3400.0,3450.0,3454.0,3400.0,3450.0,3400.0,3400.0,3400.0,3499.0,3495.0,3300.0,3300.0,3300.0,3350.0,3400.0,3250.0,3300.0,3400.0,3400.0,3450.0,3400.0,3400.0,3495.0,3550.0,3500.0,3500.0,3470.0,3500.0,3405.0,3450.0,3500.0,3400.0,3400.0,3300.0,3276.0,3328.0,3400.0,3395.0,3400.0,3450.0,3400.0,3400.0,3495.0,3435.0,3421.0,3300.0,3411.0,3547.0,3600.0,3648.0,3500.0,3500.0,3599.0,3500.0,3600.0,3500.0,3500.0
Northwest Queens,Queens,submarket,2065.0,2100.0,2200.0,2200.0,2100.0,2200.0,2400.0,2500.0,3095.0,2500.0,2200.0,2300.0,2225.0,2400.0,2525.0,2250.0,2550.0,2800.0,2700.0,2750.0,3450.0,3095.0,3200.0,2700.0,2975.0,3528.0,3500.0,3500.0,3405.0,3400.0,3410.0,3400.0,3395.0,2600.0,2500.0,2400.0,2500.0,2600.0,2500.0,2400.0,2525.0,2595.0,2650.0,2725.0,2900.0,3000.0,3200.0,2700.0,2500.0,2350.0,2300.0,2500.0,2500.0,2600.0,2500.0,2450.0,2450.0,2400.0,2400.0,2358.0,2400.0,2500.0,2400.0,2400.0,2400.0,2400.0,2450.0,2500.0,2500.0,2450.0,2445.0,2444.0,2450.0,2500.0,2500.0,2450.0,2500.0,2500.0,2500.0,2600.0,2500.0,2450.0,2450.0,2495.0,2400.0,2399.0,2400.0,2400.0,2400.0,2400.0,2400.0,2445.0,2400.0,2400.0,2400.0,2395.0,2399.0,2323.0,2390.0,2350.0,2350.0,2319.0,2350.0,2395.0,2400.0,2400.0
Norwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.0,1550.0,1550.0,1575.0,1600.0,1575.0,1588.0,1600.0,,,1600.0,1648.0,,1645.0,1673.0,1650.0,1750.0,1800.0,1695.0,1699.0,1695.0,1650.0,,1700.0,,1695.0,,,,,,,1695.0,,,,,1950.0,1850.0,,,
Oakland Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Parkway,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863.0,,,,,,,,,,2295.0,2295.0,2295.0,1900.0,1690.0,2100.0,,,,2198.0,2200.0,2200.0,2273.0,,2150.0,1950.0,2000.0,,2075.0,1895.0,,,,2099.0,,,2245.0,,,2225.0,2250.0,2238.0,2225.0,2248.0,2229.0,2291.0,2200.0,2298.0,2250.0,2095.0,2050.0,2100.0,2100.0,2138.0,2325.0,2275.0,2050.0,2050.0,2138.0,2195.0,2098.0,2200.0,2000.0
Old Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Slope,Brooklyn,neighborhood,2350.0,2350.0,2400.0,2500.0,2500.0,2500.0,2500.0,2500.0,2650.0,2675.0,2500.0,2600.0,2600.0,2500.0,2500.0,2598.0,2700.0,2700.0,2725.0,2800.0,3000.0,3000.0,3000.0,3100.0,3000.0,2900.0,2900.0,2750.0,2800.0,2875.0,2800.0,2800.0,2950.0,2900.0,3000.0,2900.0,2900.0,2800.0,2700.0,2850.0,2850.0,2950.0,2800.0,2900.0,3000.0,3000.0,2900.0,2900.0,2850.0,2900.0,2873.0,2995.0,2850.0,2850.0,2850.0,2850.0,2925.0,3100.0,2995.0,2925.0,3000.0,3150.0,3183.0,3000.0,3100.0,3000.0,3000.0,2950.0,3000.0,2995.0,3000.0,3000.0,3000.0,3000.0,3000.0,3100.0,3000.0,3150.0,3100.0,3000.0,3000.0,2950.0,2900.0,2900.0,2950.0,2900.0,2850.0,2900.0,2950.0,2995.0,2960.0,3000.0,3000.0,2963.0,2895.0,2850.0,2995.0,3000.0,3000.0,3100.0,3100.0,3175.0,3100.0,3095.0,3200.0,3200.0
Parkchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.0,1535.0,1535.0,,1493.0,,,,,,,,,,,,,,,,,,,1841.0,1700.0,1700.0,1645.0,1680.0,,,,1850.0,1773.0,1690.0,1850.0,,,,,,,,,,,,,,
Pelham Bay,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Gardens,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Parkway,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomonok,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Morris,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,Brooklyn,neighborhood,2988.0,2935.0,2895.0,2150.0,2200.0,2400.0,2575.0,2675.0,,,2700.0,2550.0,,2550.0,2500.0,2525.0,2573.0,2500.0,2400.0,2575.0,2600.0,2550.0,2500.0,2500.0,2550.0,2500.0,2500.0,2525.0,2750.0,2800.0,2723.0,2775.0,2850.0,2600.0,2600.0,2700.0,2950.0,2900.0,2850.0,3000.0,2800.0,2895.0,2848.0,2999.0,2999.0,2800.0,2600.0,2750.0,2795.0,2900.0,2850.0,2850.0,2925.0,2950.0,3200.0,2950.0,3000.0,2795.0,2950.0,2950.0,2975.0,2800.0,2798.0,2977.0,3000.0,3000.0,2900.0,3013.0,3000.0,2850.0,3000.0,3000.0,3000.0,2950.0,2950.0,3050.0,3000.0,2996.0,2950.0,3100.0,3197.0,3173.0,2900.0,2875.0,2995.0,2995.0,2979.0,2995.0,2995.0,2995.0,3000.0,3000.0,3071.0,2900.0,2800.0,3000.0,3100.0,3223.0,3223.0,3099.0,3206.0,3159.0,3200.0,3299.0,3300.0,3206.0
Prospect Lefferts Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,1875.0,,1750.0,1700.0,,,1800.0,1698.0,,,,,,,,1900.0,1850.0,,2150.0,2200.0,2200.0,2000.0,1950.0,2050.0,2250.0,2175.0,2100.0,2100.0,2075.0,2250.0,2100.0,2150.0,2125.0,2125.0,2000.0,1900.0,1900.0,1949.0,1950.0,1950.0,2000.0,2000.0,2000.0,2150.0,2200.0,2198.0,2150.0,2100.0,2100.0,2100.0,2200.0,2200.0,2232.0,2271.0,2300.0,2300.0,2300.0,2292.0,2200.0,2175.0,2225.0,2300.0,2250.0,2200.0,2197.0,2275.0,2300.0,2300.0,2295.0,2200.0,2200.0,2200.0,2138.0,2249.0,2350.0,2395.0,2400.0,2400.0,2500.0,2400.0,2452.0,2397.0
Prospect Park,Brooklyn,submarket,2300.0,2300.0,2300.0,2300.0,2473.0,2500.0,2448.0,2450.0,2600.0,2550.0,2500.0,2550.0,2550.0,2500.0,2500.0,2500.0,2600.0,2600.0,2600.0,2725.0,2825.0,2800.0,2598.0,2725.0,2600.0,2600.0,2600.0,2700.0,2750.0,2800.0,2700.0,2700.0,2825.0,2800.0,2700.0,2777.0,2800.0,2800.0,2750.0,2800.0,2800.0,2895.0,2750.0,2900.0,2850.0,2800.0,2700.0,2800.0,2795.0,2850.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2850.0,2850.0,2800.0,2800.0,2850.0,2800.0,2891.0,2900.0,2900.0,2900.0,2900.0,2850.0,2850.0,2800.0,2850.0,2800.0,2800.0,2800.0,2800.0,2900.0,2900.0,2900.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2700.0,2800.0,2800.0,2835.0,2800.0,2800.0,2800.0,2750.0,2650.0,2600.0,2700.0,2700.0,2763.0,2800.0,2850.0,2900.0,2977.0,2850.0,2900.0,2760.0
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2300.0,,2250.0,2225.0,2225.0,2100.0,2100.0,2100.0,2050.0,2245.0,2400.0,2398.0,2175.0,2100.0,2000.0,2000.0,2100.0,2100.0,2100.0,2250.0,2225.0,2150.0,2150.0,2200.0,2150.0,2100.0,2173.0,2200.0,2195.0,2138.0,2138.0,2225.0,2100.0,2099.0,2100.0,2075.0,2100.0,2058.0,2000.0,2150.0,2198.0,2100.0,2100.0,2200.0,2250.0,2050.0,2000.0,2072.0,2150.0,2100.0,2100.0,2250.0,2150.0,2200.0,2295.0,2195.0,2338.0,2250.0
Queens,Queens,borough,1950.0,2000.0,2000.0,2083.0,1825.0,1800.0,1775.0,1800.0,1898.0,1800.0,1800.0,1675.0,1688.0,1700.0,2000.0,1900.0,1975.0,2100.0,2100.0,2075.0,2450.0,2425.0,2295.0,2200.0,2195.0,2990.0,2990.0,2760.0,2700.0,2658.0,2750.0,2534.0,2450.0,2400.0,2200.0,2200.0,2100.0,2150.0,2198.0,2200.0,2300.0,2400.0,2450.0,2395.0,2400.0,2425.0,2350.0,2200.0,2200.0,2200.0,2200.0,2330.0,2300.0,2300.0,2300.0,2350.0,2300.0,2285.0,2295.0,2250.0,2250.0,2300.0,2250.0,2300.0,2300.0,2300.0,2300.0,2313.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2370.0,2390.0,2395.0,2400.0,2385.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2325.0,2325.0,2375.0,2350.0,2300.0,2300.0,2295.0,2300.0,2250.0,2295.0,2299.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensboro Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hook,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,,,,,,,,,,3000.0,3000.0,3000.0,3000.0,2800.0,2700.0,2875.0,2850.0,2800.0,2300.0,2600.0,2600.0,2300.0,2400.0,2300.0,2000.0,2200.0,2500.0,2350.0,2465.0,2465.0,2599.0,2725.0,2825.0,2800.0,2500.0,2750.0,3500.0,2925.0,2700.0,2700.0,2450.0,2800.0,2850.0,3000.0,2742.0,2683.0,2800.0,2800.0,2900.0,2850.0,2750.0,2598.0,2800.0,2499.0,2499.0,2725.0,2838.0,2900.0,2850.0,2575.0,2600.0,2700.0,2500.0
Rego Park,Queens,neighborhood,,,,,,,,,,,,,,,,,1913.0,1923.0,,,,,,1900.0,2025.0,2100.0,,,,,,,,,,,,2195.0,,,,,,,,2475.0,2331.0,2095.0,2150.0,2345.0,2248.0,2050.0,2100.0,2100.0,2125.0,2125.0,2100.0,2195.0,2232.0,2100.0,2050.0,2150.0,2200.0,2300.0,2275.0,2298.0,2200.0,2200.0,2375.0,2273.0,2225.0,2338.0,2375.0,2300.0,2300.0,2300.0,2300.0,2375.0,2350.0,2500.0,2375.0,2399.0,2400.0,2688.0,2500.0,2525.0,2650.0,2575.0,2500.0,2500.0,2595.0,2768.0,2800.0,2537.0,2375.0,2353.0,2350.0,2398.0,2350.0,2350.0,2300.0,2300.0,2350.0,2393.0,2410.0,2470.0
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,2990.0,2990.0,2915.0,,2613.0,2567.0,2613.0,,2392.0,2392.0,2399.0,2450.0,2384.0,2292.0,2292.0,2292.0,,,1950.0,1950.0,1950.0,1999.0,1750.0,1825.0,1700.0,1900.0,1798.0,1975.0,1925.0,2000.0,2195.0,1800.0,1825.0,1925.0,1975.0,1970.0,1970.0,1900.0,1800.0,1900.0,1900.0,2000.0,2000.0,2000.0,1950.0,1999.0,2000.0,2000.0,2000.0,2000.0,2000.0,2100.0,2100.0,2050.0,2100.0,2150.0,2050.0,2100.0,2100.0,2100.0,2100.0,2150.0,2150.0,2100.0,2090.0,2100.0,2199.0,2100.0,2083.0,2085.0,2100.0,2099.0,2050.0,2100.0,2000.0,2100.0,2275.0,2200.0,2250.0,2200.0,2195.0
Riverdale,Bronx,neighborhood,2300.0,2300.0,2200.0,2200.0,2100.0,2450.0,2500.0,2750.0,2250.0,2000.0,2100.0,2195.0,2195.0,2198.0,2198.0,2195.0,2198.0,2248.0,2185.0,2200.0,2188.0,2163.0,2125.0,2098.0,2100.0,2190.0,2100.0,2138.0,2050.0,2180.0,2175.0,2100.0,2125.0,2100.0,2300.0,2200.0,2150.0,2150.0,2108.0,2200.0,2248.0,2100.0,2200.0,2200.0,2250.0,2000.0,2006.0,2006.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2175.0,2108.0,2108.0,2125.0,2100.0,2100.0,2100.0,2200.0,2200.0,2175.0,2200.0,2300.0,2450.0,2600.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2325.0,2400.0,2350.0,2313.0,2425.0,2425.0,2495.0,2500.0,2450.0,2300.0,2200.0,2300.0,2324.0,2400.0,2375.0,2400.0,2600.0,2498.0,2388.0,2388.0,2595.0,2350.0,2550.0,2525.0,2550.0,2550.0,2495.0,2400.0,2350.0,2450.0,2392.0,2300.0
Rockaway All,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,,1341.0,1400.0,1465.0,,,,,,,,,,,1733.0,1708.0,1670.0,1700.0,1708.0,,,,,,,,,2075.0,2000.0,2000.0,2050.0,2025.0,2025.0,1963.0,1850.0,1850.0,1800.0,,,1897.0,1850.0,1749.0,1850.0,1775.0,,,,2200.0,2446.0,2305.0,2325.0,2223.0,1950.0,1925.0,2010.0,2100.0
Roosevelt Island,Manhattan,neighborhood,,,2961.0,2959.0,3150.0,3462.0,3277.0,3289.0,3239.0,3300.0,3250.0,3150.0,3145.0,3145.0,3231.0,3400.0,3500.0,3425.0,,3100.0,3200.0,3458.0,3500.0,3500.0,,,,3550.0,3450.0,3300.0,3500.0,,,,3550.0,3500.0,3425.0,,,3935.0,3895.0,3873.0,3750.0,3755.0,,,,,,4028.0,4450.0,3695.0,3950.0,4075.0,4100.0,4200.0,3695.0,3695.0,3745.0,3745.0,3695.0,3560.0,3495.0,,4098.0,4225.0,4385.0,4395.0,4375.0,3836.0,4021.0,3666.0,3558.0,4095.0,4123.0,4095.0,4095.0,4376.0,4315.0,4100.0,4100.0,3775.0,3600.0,3798.0,4037.0,4192.0,4069.0,3995.0,4300.0,4350.0,4400.0,4173.0,,3625.0,3425.0,,3428.0,4060.0,4015.0,4085.0,4498.0,4495.0,4569.0,4445.0,3798.0,3773.0
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,,,,,,,,,,,,2400.0,2400.0,2500.0,1975.0,1800.0,1750.0,1750.0,1800.0,,1600.0,1600.0,,,,1600.0,,1638.0,1600.0,1688.0,1900.0,1825.0,,1700.0,,,,,1759.0,1600.0,1600.0,1750.0,1600.0,1950.0,1912.0,1888.0,1700.0,1700.0,1700.0,1850.0,1800.0,1800.0,1825.0,1750.0,1750.0,1813.0,1825.0,1800.0,1700.0,1700.0,1725.0,1938.0,1895.0,1895.0,1895.0,1950.0,2098.0,1975.0,2000.0,1999.0,2000.0,1938.0,1950.0,2075.0,2038.0,2075.0,2085.0,1975.0,1950.0,1925.0,2050.0,2095.0,2100.0,2100.0,2000.0,2100.0,2100.0,2150.0,2100.0,2100.0,2150.0,2200.0,2100.0,2000.0,2200.0,2200.0,2100.0,2000.0,2000.0,2000.0,1950.0,2050.0,2100.0,2100.0,2125.0,2000.0
Soho,Manhattan,neighborhood,6900.0,6950.0,7000.0,6500.0,6500.0,5350.0,4750.0,7500.0,8000.0,8125.0,8400.0,8400.0,8400.0,8500.0,8250.0,8250.0,8700.0,6950.0,4400.0,3454.0,8450.0,8950.0,9000.0,9975.0,8650.0,8900.0,8500.0,8500.0,6000.0,4498.0,4625.0,7450.0,7425.0,8848.0,9950.0,9000.0,8498.0,5200.0,5500.0,5600.0,5100.0,5900.0,4623.0,4500.0,4445.0,6850.0,8000.0,8000.0,8000.0,7245.0,7825.0,6125.0,7000.0,4750.0,4000.0,4225.0,4850.0,6975.0,8000.0,5600.0,7250.0,7995.0,8425.0,8100.0,7500.0,5400.0,4750.0,7875.0,9000.0,9000.0,9000.0,8995.0,8750.0,8500.0,8500.0,7048.0,6975.0,7050.0,6948.0,7948.0,7795.0,7995.0,7795.0,7646.0,7350.0,8175.0,7000.0,7450.0,7000.0,7250.0,7000.0,6300.0,6800.0,7995.0,8000.0,8250.0,8495.0,8500.0,8300.0,7995.0,7748.0,4900.0,6800.0,6500.0,7250.0,7800.0
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Brooklyn,Brooklyn,submarket,1650.0,1600.0,1600.0,1595.0,1700.0,1700.0,1600.0,1595.0,1650.0,1600.0,1625.0,1700.0,1775.0,1650.0,1700.0,1800.0,1650.0,1700.0,1700.0,1600.0,1650.0,1675.0,1600.0,1600.0,1600.0,1600.0,1700.0,1700.0,1700.0,1850.0,1900.0,1900.0,1900.0,1800.0,1750.0,1800.0,1750.0,1750.0,1800.0,1775.0,1850.0,1850.0,1825.0,1900.0,1950.0,1950.0,1900.0,1845.0,1850.0,1850.0,1895.0,1850.0,1920.0,1900.0,1950.0,1900.0,1900.0,1900.0,1900.0,1895.0,1890.0,1900.0,1900.0,2000.0,2000.0,2000.0,2095.0,2000.0,2075.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2095.0,2050.0,2099.0,2030.0,2010.0,2025.0,2025.0,2000.0,2050.0,2000.0,2059.0,2050.0,2100.0,2150.0,2100.0,2100.0,2100.0,2063.0,2095.0,2100.0,2100.0,2100.0,2100.0,2100.0,2150.0,2200.0,2200.0,2190.0,2150.0
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,,,,1525.0,1463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,1895.0,,,1700.0,1850.0,1700.0,,,,1900.0,1850.0,1895.0,1800.0,1750.0,1675.0,1700.0,1938.0,1975.0,1700.0,1700.0,1700.0,1775.0,1800.0,1900.0,1800.0,1800.0,1850.0,1875.0,1950.0,1925.0,1948.0,1948.0,2125.0,2100.0,2100.0,2200.0,2206.0,2238.0,2048.0,2200.0,2000.0,1950.0,2075.0,2150.0,1900.0,1925.0,2000.0,1900.0,2100.0,1900.0,1995.0,1995.0,1900.0,2000.0,2098.0,2000.0,2348.0,2300.0,2100.0
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
